Time,Roll,Pitch,Yaw,Voltage
448898,0.01,-0.01,1.89,0.05
448902,0.01,-0.01,1.89,0.05
448909,0.01,-0.01,1.89,0.05
448916,0.01,-0.01,1.89,0.05
448921,0.01,-0.01,1.89,0.05
448928,0.02,-0.01,1.89,0.05
448933,0.02,-0.01,1.89,0.05
448941,0.02,-0.01,1.89,0.05
448948,0.02,-0.01,1.89,0.05
448952,0.02,-0.01,1.89,0.05
448959,0.01,-0.01,1.89,0.05
448966,0.01,-0.01,1.89,0.05
448971,0.01,-0.01,1.89,0.05
448978,0.01,-0.01,1.89,0.05
448986,0.01,-0.01,1.90,0.05
448991,0.01,-0.01,1.90,0.05
448998,0.02,-0.01,1.90,0.05
449002,0.02,-0.01,1.90,0.05
449010,0.02,-0.01,1.90,0.05
449017,0.02,-0.01,1.90,0.05
449021,0.02,-0.01,1.90,0.05
449029,0.02,-0.01,1.90,0.05
449036,0.02,-0.01,1.90,0.05
449041,0.02,-0.01,1.90,0.05
449048,0.02,-0.01,1.90,0.05
449053,0.02,-0.01,1.90,0.05
449060,0.02,-0.01,1.90,0.05
449068,0.02,-0.01,1.89,0.05
449072,0.02,-0.01,1.89,0.05
449079,0.03,-0.01,1.89,0.05
449086,0.02,-0.01,1.89,0.05
449091,0.02,-0.01,1.89,0.05
449098,0.02,-0.01,1.89,0.05
449103,0.02,-0.01,1.89,0.05
449111,0.02,-0.01,1.89,0.05
449118,0.01,-0.01,1.89,0.05
449122,0.01,-0.01,1.89,0.05
449129,0.01,-0.01,1.89,0.05
449136,0.01,-0.01,1.89,0.13
449141,0.01,-0.01,1.89,0.05
449148,0.02,-0.01,1.89,0.05
449156,0.02,-0.01,1.90,0.05
449161,0.02,-0.01,1.90,0.05
449168,0.02,-0.01,1.90,0.05
449173,0.02,-0.01,1.90,0.05
449180,0.03,-0.01,1.91,0.05
449187,0.02,-0.01,1.91,0.05
449191,0.02,-0.01,1.91,0.05
449199,0.02,-0.01,1.91,0.05
449206,0.03,-0.01,1.91,0.05
449211,0.03,-0.01,1.91,0.05
449218,0.03,-0.01,1.91,0.05
449223,0.03,-0.01,1.91,0.05
449230,0.03,-0.01,1.90,0.05
449238,0.03,-0.01,1.90,0.05
449242,0.03,-0.01,1.90,0.05
449250,0.03,-0.01,1.89,0.05
449257,0.02,-0.01,1.89,0.05
449261,0.02,-0.01,1.89,0.05
449268,0.02,-0.01,1.89,0.05
449275,0.02,-0.01,1.89,0.05
449281,0.02,-0.01,1.89,0.05
449288,0.02,-0.01,1.89,0.05
449293,0.02,-0.01,1.89,0.05
449300,0.02,-0.02,1.89,0.05
449307,0.02,-0.02,1.89,0.05
449311,0.02,-0.02,1.89,0.05
449318,0.02,-0.02,1.89,0.05
449326,0.02,-0.02,1.90,0.05
449331,0.02,-0.02,1.90,0.05
449338,0.02,-0.02,1.90,0.05
449343,0.02,-0.02,1.90,0.05
449350,0.02,-0.01,1.91,0.05
449357,0.02,-0.01,1.91,0.05
449361,0.02,-0.01,1.91,0.05
449370,0.02,-0.01,1.91,0.05
449377,0.02,-0.01,1.91,0.05
449381,0.02,-0.01,1.91,0.05
449388,0.02,-0.01,1.91,0.05
449393,0.02,-0.01,1.91,0.05
449400,0.03,-0.01,1.91,0.05
449408,0.03,-0.01,1.91,0.05
449413,0.03,-0.01,1.91,0.05
449420,0.03,-0.01,1.90,0.05
449427,0.03,-0.01,1.90,0.05
449431,0.03,-0.01,1.90,0.05
449438,0.03,-0.02,1.90,0.05
449445,0.02,-0.02,1.90,0.05
449451,0.02,-0.02,1.90,0.05
449458,0.02,-0.01,1.89,0.05
449463,0.02,-0.01,1.89,0.05
449470,0.02,-0.01,1.89,0.05
449477,0.02,-0.01,1.89,0.05
449481,0.02,-0.01,1.89,0.08
449489,0.02,-0.01,1.90,0.05
449497,0.02,-0.01,1.90,0.05
449501,0.02,-0.01,1.90,0.05
449508,0.02,-0.01,1.90,0.05
449513,0.02,-0.01,1.90,0.05
449520,0.03,-0.01,1.90,0.05
449527,0.03,-0.02,1.91,0.05
449532,0.03,-0.02,1.91,0.05
449540,0.03,-0.02,1.91,0.05
449547,0.03,-0.01,1.91,0.05
449551,0.03,-0.01,1.91,0.05
449558,0.03,-0.01,1.91,0.05
449563,0.03,-0.01,1.91,0.05
449570,0.03,-0.01,1.91,0.05
449577,0.02,-0.01,1.91,0.05
449583,0.02,-0.01,1.91,0.05
449590,0.02,-0.01,1.91,0.05
449597,0.02,-0.01,1.91,0.05
449602,0.02,-0.01,1.91,0.05
449609,0.02,-0.01,1.90,0.05
449616,0.03,-0.01,1.90,0.05
449620,0.03,-0.01,1.90,0.05
449628,0.03,-0.01,1.90,0.05
449633,0.03,-0.01,1.90,0.05
449640,0.03,-0.01,1.90,0.05
449647,0.03,-0.01,1.90,0.05
449652,0.03,-0.01,1.90,0.05
449659,0.03,-0.01,1.90,0.05
449667,0.03,-0.01,1.90,0.05
449671,0.03,-0.01,1.90,0.05
449678,0.02,-0.01,1.91,0.05
449683,0.02,-0.01,1.91,0.05
449690,0.02,-0.02,1.91,0.05
449697,0.02,-0.02,1.91,0.05
449702,0.02,-0.02,1.91,0.05
449710,0.02,-0.02,1.91,0.05
449717,0.02,-0.02,1.91,0.05
449722,0.02,-0.02,1.91,0.05
449729,0.03,-0.01,1.91,0.05
449736,0.03,-0.01,1.91,0.05
449740,0.03,-0.01,1.91,0.05
449747,0.03,-0.01,1.91,0.05
449753,0.03,-0.01,1.91,0.05
449760,0.03,-0.01,1.91,0.05
449767,0.03,-0.01,1.91,0.05
449772,0.03,-0.01,1.91,0.05
449779,0.03,-0.01,1.91,0.05
449786,0.03,-0.01,1.91,0.05
449792,0.03,-0.01,1.91,0.05
449799,0.03,-0.01,1.90,0.05
449803,0.03,-0.01,1.90,0.05
449810,0.03,-0.01,1.90,0.05
449817,0.02,-0.01,1.90,0.05
449822,0.02,-0.01,1.90,0.05
449829,0.02,-0.01,1.90,0.05
449837,0.02,-0.01,1.90,0.05
449842,0.02,-0.01,1.90,0.05
449849,0.02,-0.01,1.90,0.05
449856,0.02,-0.01,1.91,0.05
449861,0.02,-0.01,1.91,0.05
449868,0.02,-0.01,1.91,0.05
449872,0.02,-0.01,1.91,0.05
449880,0.02,-0.01,1.91,0.05
449887,0.02,-0.01,1.91,0.05
449892,0.02,-0.01,1.91,0.05
449899,0.02,-0.01,1.91,0.05
449906,0.02,-0.01,1.91,0.05
449911,0.02,-0.01,1.91,0.05
449918,0.01,-0.01,1.91,0.05
449923,0.01,-0.01,1.91,0.05
449931,0.01,-0.01,1.91,0.05
449938,0.02,-0.01,1.91,0.05
449942,0.02,-0.01,1.91,0.05
449949,0.02,-0.01,1.91,0.05
449956,0.02,-0.01,1.90,0.05
449961,0.02,-0.01,1.90,0.05
449969,0.02,-0.01,1.90,0.05
449976,0.02,-0.01,1.90,0.05
449981,0.02,-0.01,1.90,0.05
449988,0.02,-0.01,1.90,0.05
449993,0.02,-0.01,1.90,0.05
450000,0.02,-0.01,1.90,0.05
450008,0.02,-0.01,1.90,0.05
450012,0.02,-0.01,1.90,0.05
450019,0.02,-0.01,1.91,0.05
